id,observed_on,latitude,longitude,common_name
3132,2009-07-10,30.1869792938,-85.7333602905,Thinstripe Hermit Crab
103354,2012-07-13,21.1323828333,-86.7426609993,Hermit Crabs
169081,2012-12-28,25.1995049178,-80.3464508057,Caribbean Land Hermit Crab
186312,2011-06-03,21.0613789204,-86.7789191008,Hermit Crabs
301804,2012-01-09,20.2858333333,-87.3766638889,Caribbean Land Hermit Crab
301805,2012-01-09,20.2858333333,-87.3766638889,Caribbean Land Hermit Crab
316742,2013-06-29,29.263471,-89.962037,Thinstripe Hermit Crab
317093,2013-06-24,24.824026,-80.813678,Giant Hermit Crab
327163,2013-06-28,29.3695533333,-94.749005,Thinstripe Hermit Crab
364544,1992-08-07,19.32217,-81.240869,Red Reef Hermit
453591,2013-05-13,17.736948,-88.027782,Hermit Crabs
460075,2013-04-19,20.422984,-86.922343,Caribbean Land Hermit Crab
484802,2003-09-05,25.27528,-78.117428,Hermit Crabs
496746,2013-07-16,34.673876,-76.857605,Thinstripe Hermit Crab
500680,2014-01-10,25.95627,-81.751027,Blue-spot Hermit
526952,2014-02-10,24.567343,-81.671677,Caribbean Land Hermit Crab
555304,2013-05-11,19.1752,-96.092083,Caribbean Land Hermit Crab
566075,2013-08-18,29.045739,-95.158666,Surf Hermit
739783,2014-05-21,21.495356,-86.794413,Caribbean Land Hermit Crab
761312,2014-06-30,26.0686666667,-97.163,Hermit Crabs
776904,2013-08-29,29.305571,-94.770634,Surf Hermit
862699,2004-08-27,27.742643,-83.537238,Thinstripe Hermit Crab
862776,2010-03-29,27.742643,-83.537238,Flat-clawed Hermit Crab
862779,2010-03-31,27.742643,-83.537238,Flat-clawed Hermit Crab
907004,2011-02-23,27.715294,-97.321197,Thinstripe Hermit Crab
1020950,2007-07-15,20.215529,-87.429307,Caribbean Land Hermit Crab
1122203,2014-11-28,17.956264,-87.946243,Caribbean Land Hermit Crab
1268669,2015-03-01,29.710837,-81.231575,Flat-clawed Hermit Crab
1308321,2015-03-18,25.788624,-81.418519,Long-claw Hermit Crab
1342003,2015-03-26,24.81413,-80.82181,Caribbean Land Hermit Crab
1375608,2015-04-03,18.30031,-76.820525,Caribbean Land Hermit Crab
1438421,2014-12-28,26.4918327332,-78.6961669922,Hermit Crabs
1458125,2015-05-01,26.137573,-97.1764,Thinstripe Hermit Crab
1458592,2015-05-03,23.183071,-97.767401,Hermit Crabs
1465388,2015-05-06,19.356194,-81.283452,Caribbean Land Hermit Crab
1490527,2014-06-11,21.036061,-86.777793,Caribbean Land Hermit Crab
1492150,2015-05-14,40.452956,-73.99498,Long-claw Hermit Crab
1524265,2014-12-07,20.50075,-87.22647,Caribbean Land Hermit Crab
1540262,2015-02-24,20.395974,-87.315901,Blue-legged Hermit Crab
1566269,2015-05-07,24.628387,-82.871003,Caribbean Land Hermit Crab
1585401,2015-04-30,30.342647,-88.549947,Thinstripe Hermit Crab
1630660,2015-06-13,27.88552021,-97.34009085,Thinstripe Hermit Crab
1667325,2015-06-22,29.704701,-81.229085,Thinstripe Hermit Crab
1701028,2015-06-27,28.0543278333,-97.033325,Hermit Crabs
1706113,2015-06-29,40.790683,-73.927765,Long-claw Hermit Crab
1716052,2015-06-29,34.428602,-77.549939,Thinstripe Hermit Crab
1717207,2015-06-25,30.386099,-86.862372,Thinstripe Hermit Crab
1735352,2015-06-26,24.877984,-80.676732,Caribbean Land Hermit Crab
1738718,2015-06-26,24.877984,-80.676732,Thinstripe Hermit Crab
