id,observed_on,Latitude,Longitude
8911554,2017-11-23,28.1207,-80.5753333333
8964834,2017-11-21,25.9428707,-80.1233802
9056538,2017-12-05,28.3409114136,-80.6054185052
9178128,2017-12-17,26.0005059745,-80.1159215626
9212777,2017-12-17,26.30418439,-80.07651791
9260284,2017-12-23,26.2950204459,-80.0775662941
9261542,2017-12-17,26.30161094,-80.07680326
9285661,2017-12-28,26.896095,-80.0575861667
9396441,2018-01-07,26.0575466156,-80.1115951538
9425169,2018-01-09,26.5285986976,-80.0469068137
9509381,2018-01-16,26.8208194013,-80.0374594831
9527991,2018-01-19,26.9245823426,-80.0671771915
9527994,2018-01-19,26.924757734,-80.067125056
9527997,2018-01-19,26.9247713965,-80.0671197754
9527999,2018-01-19,26.9247961231,-80.0671444182
9528001,2018-01-19,26.9247916807,-80.0671442506
9528003,2018-01-19,26.9248126354,-80.0671483577
9528004,2018-01-19,26.9248176646,-80.0671740063
9528005,2018-01-19,26.9248202211,-80.0671706536
9528007,2018-01-19,26.9248401281,-80.0671720785
9528010,2018-01-19,26.9248884078,-80.0672011637
9528012,2018-01-19,26.9249750348,-80.0671843161
9528013,2018-01-19,26.9250421319,-80.0671817177
9528014,2018-01-19,26.9250730193,-80.0672317576
9528152,2018-01-19,26.9250645954,-80.0672228728
9528153,2018-01-19,26.9250935968,-80.0672135689
9528162,2018-01-19,26.9250934292,-80.0671946258
9528165,2018-01-19,26.9251175272,-80.067223711
9528167,2018-01-19,26.9251759071,-80.0672311709
9528168,2018-01-19,26.9251809782,-80.0672488567
9528170,2018-01-19,26.9251886895,-80.0672220346
9528171,2018-01-19,26.9252070878,-80.0672569034
9528173,2018-01-19,26.9251992088,-80.0672333502
9528183,2018-01-19,26.9252613606,-80.0672726613
9535086,2018-01-19,25.67782,-80.1542805
9553040,2018-01-21,26.2222546712,-80.0894431305
9565208,2018-01-22,28.654555,-80.63105
9565808,2018-01-22,24.7522327744,-80.9693275977
9633045,2018-01-27,28.06956665,-80.55669177
9637604,2017-12-04,28.13866,-80.5802544
9697910,2018-02-01,28.3686399559,-80.601731725
9716871,2018-02-03,26.01392069,-80.11516901
9717097,2018-02-03,26.0098393,-80.11521151
9730937,2018-02-04,26.7018833333,-80.0330195
9761973,2018-02-07,26.804925,-80.0332028333
9796124,2018-02-09,26.1254234473,-80.1033096482
9796716,2018-02-08,25.6142940285,-80.3060977964
9811306,2018-02-10,25.7438633333,-80.210495
9811871,2018-02-10,25.7439016784,-80.2105383296
9812882,2018-02-10,25.74394148,-80.21044592
9818730,2018-02-10,29.2316665649,-81.0097198486
9821129,2018-02-10,26.115925,-80.1039416667
9821479,2018-02-11,27.2067211429,-80.1693826821
9821484,2018-02-11,27.2068731487,-80.1693566982
9821509,2018-02-11,27.2066419339,-80.1692789142
9821511,2018-02-11,27.2066261759,-80.1692618989
9821522,2018-02-11,27.2065896308,-80.1692458057
9821524,2018-02-11,27.2063455917,-80.1691223402
9821525,2018-02-11,27.2062298795,-80.1690139622
9821544,2018-02-11,27.2060128721,-80.1690189914
9821625,2018-02-11,27.2057739459,-80.1687500999
9821683,2018-02-11,27.2054178827,-80.1686371957
9823113,2018-02-11,27.1882519964,-80.1602720563
9823234,2018-02-11,27.1891969303,-80.1600457449
9823347,2018-02-11,27.1891799569,-80.1601370239
9824544,2018-02-11,27.2055600398,-80.1686459967
9824548,2018-02-11,27.2054685513,-80.1685673744
9824551,2018-02-11,27.2054445371,-80.1685773489
9824552,2018-02-11,27.2051442135,-80.168344332
9824558,2018-02-11,27.2056049248,-80.1687516087
9824560,2018-02-11,27.2058235249,-80.1688485873
9824566,2018-02-11,27.2067703447,-80.1693427843
9825105,2018-02-11,27.2051148769,-80.1683606767
9825152,2018-02-11,27.2051408608,-80.1683563181
9825156,2018-02-11,27.2049671877,-80.1682723314
9825157,2018-02-11,27.2049301397,-80.1682585851
9825160,2018-02-11,27.2045291076,-80.168085415
9825239,2018-02-11,26.9300583333,-80.0683278333
9826564,2018-02-11,25.7690716667,-80.1302195
9834771,2018-02-12,27.1878568735,-80.1600237005
9834795,2018-02-12,27.1894628881,-80.160369454
9834798,2018-02-12,27.1883985959,-80.160058234
9834799,2018-02-12,27.1883718996,-80.1600537077
9834800,2018-02-12,27.1876041591,-80.1600101218
9834825,2018-02-12,27.1874363534,-80.16013233
9834923,2018-02-12,27.1877594758,-80.1600627602
9845605,2018-02-13,27.2069615359,-80.1694436186
9845801,2018-02-13,27.20711987,-80.16952727
9846272,2018-02-12,27.0653055,-80.1140833333
9849354,2018-02-13,27.1864499292,-80.1603379381
9849610,2018-02-13,27.1863640566,-80.1603435539
9850011,2018-02-13,27.1864863485,-80.1603288856
9869643,2018-02-15,29.0193704004,-80.8836536017
9869681,2018-02-15,29.0167739382,-80.8821760398
9896480,2018-02-17,26.4622241295,-80.0565855165
9928288,2018-02-17,26.5416997397,-80.043007073
9949499,2018-02-21,26.3376254915,-80.0703734626
9977733,2018-02-24,25.751325,-80.1466361667
9979233,2018-02-24,26.0496120453,-80.1126785278
9990490,2018-02-25,29.202340497,-81.0144673318
9992602,2018-02-24,27.2433523746,-80.1896277685
9993562,2018-02-25,28.1935467387,-80.5937612671
9994825,2018-02-25,26.9103366667,-80.0621945
9997993,2018-02-24,29.2940116667,-81.0396888333
10019113,2018-02-27,25.7317796862,-80.1623066795
10024613,2018-02-25,27.66117,-80.3579116667
10032831,2018-02-28,27.210040167,-80.1711647586
10176862,2018-03-10,25.8911296154,-80.1228219643
10191082,2018-03-11,25.7186966667,-80.1484
10191090,2018-03-11,25.7186366667,-80.1484971667
10222345,2018-02-25,28.1476602976,-80.5816920988
10268917,2018-03-16,30.0080888833,-81.3437866667
11075271,2018-02-23,26.3607859415,-80.0685028732
11395407,2018-02-24,27.6763133333,-80.3620833333
11449383,2018-02-28,28.3386116028,-80.6072235107
11695472,2018-04-06,28.369243975,-80.6014974637
12514116,2018-05-16,30.292855,-81.389045
13117402,2018-06-04,28.5990310586,-80.8061458146
13256172,2018-06-08,33.9110263722,-78.2907062397
13363711,2018-06-12,35.606716156,-75.4679107666
13565977,2018-06-18,28.0599439768,-80.5519119493
14983254,2018-04-01,26.7151625124,-80.0330251886
15210056,2018-02-26,28.0616028333,-80.5531383333
16014146,2018-02-23,26.786645,-80.0331805
16067126,2018-02-24,26.71465,-80.0330416667
16407665,2018-02-10,26.9618021142,-80.077447654
16912782,2018-09-25,36.2049012096,-75.7604290461
17529249,2018-10-14,27.46937,-80.291389
18015047,2018-11-01,25.6152216032,-80.3052728623
18142658,2018-11-04,27.4983615875,-80.2994995117
18143517,2018-11-05,25.6156688985,-80.3065573913
18260985,2018-02-15,26.2251583333,-80.0890666667
18357072,2018-11-12,28.7055904399,-80.6682609022
18412155,2018-11-09,35.42505,-75.4845966667
18412233,2018-11-09,35.42495,-75.4846416667
18476401,2018-11-18,28.6574973632,-80.6328959764
18499322,2018-11-18,28.6573725986,-80.6329368801
18509614,2018-11-19,28.009875,-80.5290916667
18511769,2018-11-19,29.2772293091,-81.031867981
