id,observed_on,latitude,longitude,common_name
1796,2009-02-09,26.1871070862,-80.0936050415,West Indian Sea Egg
3078,2009-07-05,26.1888446808,-80.0913009644,Atlantic Long-spined Sea Urchin
28553,2011-07-30,32.2011812663,-80.6867694855,Isometric Sand Dollar
64376,2010-04-15,18.3340288784,-94.6667457756,Five-slotted Sand Dollar
81371,2012-05-15,25.095549,-77.376709,West Indian Sea Egg
84679,2012-05-28,20.02252,-87.27969,Atlantic Long-spined Sea Urchin
89718,2010-10-26,29.1720233486,-80.9792804718,Five-slotted Sand Dollar
94176,2012-06-21,24.8240255,-80.8136783,Atlantic Rock-boring Urchin
252978,2013-04-21,26.677757,-82.262363,Variegated Sea Urchin
317181,2013-06-25,24.824026,-80.813678,Variegated Sea Urchin
317225,2013-06-27,24.824026,-80.813678,Slate Pencil Urchin
317246,2013-06-27,24.824026,-80.813678,Atlantic Rock-boring Urchin
317328,2013-06-28,24.824026,-80.813678,Atlantic Long-spined Sea Urchin
334456,2013-07-10,24.824026,-80.813678,Reef Urchin
334457,2013-07-11,24.824026,-80.813678,Slate Pencil Urchin
334574,2013-07-13,24.629578,-82.924608,Atlantic Long-spined Sea Urchin
335690,2013-07-13,24.629578,-82.924608,West Indian Sea Egg
350853,2013-07-23,28.462655,-96.295853,Five-slotted Sand Dollar
364635,1992-08-09,19.32217,-81.240869,Atlantic Long-spined Sea Urchin
401374,2008-12-22,21.233776,-86.730827,Atlantic Long-spined Sea Urchin
454215,2013-03-22,24.766785,-77.783203,Atlantic Rock-boring Urchin
454790,2013-03-27,25.03428,-77.39628,Fat Sea Biscuit
484801,2003-09-05,25.27528,-78.117428,
485634,2003-09-01,24.99726,-80.440522,Fat Sea Biscuit
485656,2003-09-03,25.314236,-79.161987,Six-keyhole Sand Dollar
489962,2013-12-25,26.431069,-82.05072,Keyhole Sand Dollar
493171,2014-01-03,26.421697,-82.079995,Keyhole Sand Dollar
548155,2014-03-01,26.4584633333,-82.1564611667,Five-slotted Sand Dollar
552292,2014-02-14,26.44897,-82.022314,Variegated Sea Urchin
573066,2013-10-04,34.693774,-76.607983,Purple-brown Urchin
602698,2014-03-03,19.186678,-96.130371,Variegated Sea Urchin
759700,2012-12-22,26.39087,-81.880567,Variegated Sea Urchin
