id,observed_on,latitude,longitude,common_name
1501,2002-01-06,24.6540775299,-81.279258728,Red Cushion Sea Star
88301,2011-06-09,29.2001234776,-81.0145568848,Flat Sea Star
89708,2010-12-17,29.2768163284,-81.03515625,
95377,2012-06-22,24.7770667751,-80.8099091581,Red Cushion Sea Star
96683,2012-06-24,24.8240255,-80.8136783,
96752,2012-06-25,24.8240255,-80.8136783,Red Cushion Sea Star
98615,2012-06-24,25.0802433665,-77.4073210349,Red Cushion Sea Star
122301,2010-04-24,25.4352070296,-77.8392322991,Red Cushion Sea Star
186996,2013-01-26,25.4368333333,-77.8651666667,
211710,2013-02-28,33.7013428262,-78.8663431184,Gray Sea Star
225823,2013-03-26,17.7506485303,-88.0238342285,Blunt-spined Brittle Star
317091,2013-06-27,24.824026,-80.813678,Blunt-spined Brittle Star
317186,2013-06-25,24.824026,-80.813678,Red Cushion Sea Star
317199,2013-06-25,24.824026,-80.813678,Green Serpent Star
317259,2013-06-27,24.824026,-80.813678,Giant Basket Star
317360,2013-06-29,24.824026,-80.813678,
317374,2013-06-29,24.824026,-80.813678,Little Six-arm Brittle Star
334436,2013-07-10,24.824026,-80.813678,
334458,2013-07-11,24.824026,-80.813678,Banded-arm Brittle Star
334573,2013-07-13,24.629578,-82.924608,Giant Basket Star
350807,2013-07-23,28.462655,-96.295853,Gray Sea Star
447738,2013-10-23,30.328909,-86.155117,Long-armed Burrowing Brittle Stars
452795,2013-05-12,17.752247,-88.025851,Red Cushion Sea Star
485657,2003-09-03,25.314236,-79.161987,Red Cushion Sea Star
493935,2014-01-03,26.421697,-82.080177,Gray Sea Star
543730,2013-06-02,29.048,-95.155,Gray Sea Star
565501,2009-02-13,32.643576,-79.963228,Gray Sea Star
602691,2014-03-31,19.1752,-96.092083,Guilding's Sea Star
637898,2014-02-19,19.087833,-96.002972,
677029,2014-05-12,19.17478,-96.0927055,Red Cushion Sea Star
751529,2014-06-23,30.152252,-88.058167,Gray Sea Star
762922,2014-06-25,24.824026,-80.813678,Circle-marked Brittle Star
762970,2014-06-27,24.824026,-80.813678,Giant Basket Star
763033,2014-06-29,24.824026,-80.813678,Red ophiocoma
822541,2013-12-13,20.343983,-87.039871,Red Cushion Sea Star
857731,2007-10-08,29.704344,-81.227074,Flat Sea Star
